City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,lebu,40,ET,1557968400,72,8.96,38.73,59.0,4.7
89,qaanaaq,0,GL,1557970078,73,77.48,-69.36,15.96,1.1
90,dublin,0,IE,1557970327,87,53.35,-6.26,46.99,4.7
91,baoqing,55,CN,1557970372,45,46.32,132.2,75.37,19.44
92,swan hill,0,AU,1557970372,52,-35.34,143.56,64.55,0.76
93,nouakchott,0,MR,1557968400,88,18.08,-15.98,64.4,12.75
94,oktyabrskiy,40,RU,1557968709,81,55.61,37.97,52.0,8.95
95,albany,75,US,1557969813,62,42.65,-73.75,57.2,4.05
96,matehuala,36,MX,1557970373,71,23.65,-100.64,66.44,20.36
97,northam,0,GB,1557970326,86,51.04,-4.21,53.01,3.36
98,port pirie,0,AU,1557968400,45,-33.18,138.01,64.4,6.93
99,buraydah,40,SA,1557968400,47,26.33,43.97,80.6,9.17
100,maler kotla,100,IN,1557970362,23,30.52,75.88,90.04,4.21
101,buckeye,1,US,1557970282,13,33.37,-112.58,98.6,16.11
102,arraial do cabo,75,BR,1557964800,85,-22.97,-42.02,71.6,11.03
103,nanortalik,38,GL,1557969966,91,60.14,-45.24,34.68,4.0
104,castro,100,CL,1557968400,87,-42.48,-73.76,50.0,8.05
105,pelym,100,RU,1557970373,42,61.01,62.0,47.33,7.61
106,bundaberg,75,AU,1557970209,60,-24.87,152.35,79.0,17.22
107,pavlogradka,0,RU,1557970374,36,54.2,73.56,43.44,6.24
108,mount gambier,0,AU,1557968400,71,-37.83,140.78,57.2,8.05
109,kodiak,1,US,1557970021,65,39.95,-94.76,80.01,6.93
110,alice springs,20,AU,1557966600,48,-23.7,133.88,66.2,6.93
111,dubbo,0,AU,1557968400,56,-32.25,148.6,68.0,12.75
112,norrkoping,44,SE,1557967800,86,58.59,16.18,41.0,2.84
113,tingo maria,92,PE,1557970374,99,-9.29,-76.01,38.85,1.88
